Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
33,660000,3000000,11,9000000,4000000,5,1,1,0
44,1240000,4000000,11,17250000,7250000,0,1,1,0
42,990000,5000000,11,14500000,6500000,5,1,1,0
39,2230000,6500000,17,41000000,16000000,1,1,0,0
46,500000,4000000,17,9000000,4000000,10,1,1,0
45,500000,4000000,17,7250000,2250000,10,1,1,0
44,1070000,3000000,17,18500000,6500000,5,1,1,0
34,1220000,6000000,23,25000000,10000000,0,1,0,0
49,5170000,10000000,5,40000000,18000000,1,1,0,0
20,500000,2000000,17,9000000,4000000,1,0,1,0
32,500000,2000000,17,10000000,5000000,1,0,1,0
55,1690000,4611000,23,96000000,73000000,0,1,0,2
51,1690000,8000000,17,30000000,12000000,0,1,0,0
49,4110000,72000000,11,65000000,30000000,0,1,1,2
31,890000,2932000,11,14000000,7000000,1,1,1,0
44,680000,4000000,17,14500000,7500000,8,1,1,0
29,1570000,3424000,23,41000000,19000000,1,0,1,0
46,660000,4000000,11,7300000,2300000,0,1,1,0
42,710000,4500000,17,35000000,28000000,5,1,0,0
50,820000,3443800,17,15000000,7000000,1,1,0,0
26,800000,2976407,17,14250000,5250000,1,0,1,0
51,320000,2500000,17,5000000,2000000,10,0,1,0
42,580000,3400000,17,10500000,4500000,5,1,1,0
41,780000,1637000,11,8750000,2750000,1,0,1,0
22,930000,5000000,11,15500000,8000000,1,0,1,0
33,410000,4625000,17,8750000,4750000,10,0,1,0
41,550000,2000000,11,7000000,3000000,5,1,1,0
31,820000,4038360,11,9750000,3250000,1,1,1,0
40,930000,6500000,11,17000000,9500000,0,1,1,0
52,890000,5601954,11,12250000,5250000,1,0,1,0
46,1120000,5400000,11,15000000,6000000,5,1,1,0
39,890000,9000000,11,12000000,5000000,10,1,1,0
20,1250000,3290668,5,8750000,3750000,1,0,1,0
25,1320000,7670000,23,40000000,20000000,1,0,0,0
31,720000,4711413,17,12250000,4250000,1,0,1,0
41,630000,5314612,17,11000000,4000000,1,1,1,0
